epoch,train_loss,val_loss
1,0.7154210943380992,0.9248144165674845
2,0.2539863466421763,0.6630484135945638
3,0.12972006519635518,0.6802811098098754
4,0.08835406327247619,0.34167532205581663
5,0.10668848844369253,0.21775813817977904
6,0.1184582960208257,0.08850569109121958
7,0.0954952520330747,0.15594653864701588
8,0.07686868776877721,0.8586823232968648
9,0.05953769439458847,0.08254229788978895
10,0.054354668299357096,0.074190969367822
11,0.05702214107910792,0.31063269019126893
12,0.05413880884647369,0.09888167838255564
13,0.049502206047376,0.22916244188944498
14,0.04717259271939596,0.06517188693086307
15,0.05045223567883174,0.039334127580126124
16,0.045348064333200454,0.09081632941961289
17,0.047227389693260194,0.1768704734245936
18,0.04238079569737117,0.09521187151471774
19,0.03167035042246183,0.12315283358097076
20,0.03992049407958984,0.059157994737227756
21,0.03761288316051165,0.04996977244814237
22,0.031122502893209458,0.1075457689166069
23,0.03241218111415704,0.04705998331308365
24,0.030928807869553567,0.03881369809309641
25,0.03125018808245659,0.04378646954894066
26,0.0327168507228295,0.08615852758288384
27,0.03201381964981556,0.04937501594424248
28,0.022797820915778477,0.05909298936525981
29,0.02614426812529564,0.12406347175439199
30,0.038026987299323085,0.05990802064538002
31,0.025521799017985663,0.12503468751907348
32,0.027333726997176806,0.07622493093212446
33,0.024241236666838327,0.05056734477480253
34,0.0296572162459294,0.05770806839068731
35,0.02238623967766762,0.0808267759780089
36,0.020839528389275074,0.037898076648513475
37,0.019798991312583288,0.06452945133050282
38,0.016948235747714837,0.05111757698158423
39,0.01905592770377795,0.04300980500876903
40,0.02287500448524952,0.12024881939093272
41,0.019476759766538936,0.059043661157290143
42,0.022459564755360286,0.05799309511979421
43,0.022053060859441757,0.07722992112239202
44,0.02335164949297905,0.04808713575204213
45,0.021591744298736254,0.04322475865483284
46,0.024595124597350755,0.03878524447480838
47,0.023587208203971387,0.1445350554585457
48,0.02428002058962981,0.046682992726564405
49,0.023922840269903344,0.20496042549610138
50,0.02018822053074837,0.050256292621294656
51,0.02794982804854711,0.05396530983348687
52,0.03268666755656401,0.14424664636452994
53,0.02497189638018608,0.08549069086710612
54,0.023663589626550675,0.03694506791730722
55,0.0185263542731603,0.049616193075974785
56,0.019272563715775806,0.07580262551705043
57,0.018790742908914883,0.06061149189869563
58,0.01536640278995037,0.03504249684512615
59,0.022009532809257507,0.041251159012317656
60,0.0199028207163016,0.04534985919793447
61,0.02647358414530754,0.06938179701566696
62,0.019336011012395224,0.1693847018480301
63,0.018472662399212518,0.04842613625029723
64,0.020598773206273714,0.05983264009157817
65,0.015287527156372865,0.04790701026717822
66,0.016779241740703582,0.0616406911611557
67,0.017347492322325707,0.037499507690469426
68,0.01710256575544675,0.05597202827533086
69,0.013247525971382856,0.04618762659529845
70,0.013994897469878196,0.04879612291852633
71,0.017950758159160612,0.11562307298183441
72,0.01702653369307518,0.0511827335258325
73,0.015111755058169364,0.09426055048902829
74,0.014066408216953277,0.043030109802881876
75,0.015419889489809673,0.08007518102725347
76,0.016768058766921362,0.0436948457856973
77,0.015653563037514688,0.052157271554072696
78,0.017114478170871736,0.03887057637174924
79,0.018842058673501014,0.12956916908423105
80,0.014195914054910342,0.05113596752285957
81,0.013177123193939527,0.04514916390180588
82,0.015990540559093158,0.05064634650945663
83,0.014099322492877642,0.03944192126393318
84,0.014549121250708898,0.10692514210939408
85,0.01514522572606802,0.055502676963806154
86,0.014857040653626124,0.06326591188708941
87,0.0112631855905056,0.03706941962242127
88,0.01190015138934056,0.06672653610507648
89,0.009486082028597593,0.04646948511401812
90,0.013443535705407461,0.12348549832900366
91,0.012742011860013008,0.03947864063084126
92,0.012554692237327495,0.05705032204588254
93,0.014766005903482437,0.09755523343880972
94,0.012820542593797049,0.07033877770105998
95,0.010994992402692636,0.04607440501451492
96,0.015723774582147597,0.05058777411778768
97,0.014130576329926649,0.049717952460050584
98,0.015523724868893623,0.10382744580507279
99,0.012104740696648757,0.08841077973445256
100,0.017160748379925886,0.04323333924015363
