model,Nu_R2,Nu_MAE,Nu_RMSE,f_R2,f_MAE,f_RMSE,eta_R2,eta_MAE,desc
baseline,0.9716753363609314,0.7062222361564636,0.9277301025292245,0.9807738065719604,0.0025056730955839157,0.0031430339228563572,0.9705432057380676,0.0171426422894001,基线：纯参数 MLP
mask,0.9704648852348328,0.7580399513244629,0.9473460055196526,0.9788056015968323,0.0027227432001382113,0.0032999926101432383,0.9696999192237854,0.017349332571029663,+ 几何掩码编码器 + 参数融合
cbam,0.9733235836029053,0.709707498550415,0.9003326662155988,0.9778527021408081,0.0026647483464330435,0.0033733604045965955,0.9659251570701599,0.019048526883125305,+ CBAM 注意力
pi,0.9709481596946716,0.7108062505722046,0.9395632292689412,0.9761707782745361,0.0027756886556744576,0.0034991081345753282,0.9673649072647095,0.017473749816417694,+ 物理约束损失
gp,0.9661601781845093,0.7908055186271667,1.0140365503220774,0.9709200859069824,0.0030929031781852245,0.0038654402402712607,0.9681454300880432,0.01764007844030857,+ 梯度惩罚（完整模型）
