metric,baseline_case,baseline_value,optimal_case,optimal_value,percent_change
Nu,1,22.99888567681996,195,24.846997244030018,8.035657001733464
f,1,0.0420692668913897,195,0.0445656583772832,5.934002825241614
eta,1,66.12796323089742,195,70.08210472512968,5.97953014283183
Q_total,1,11077.060506883876,195,11578.322435431672,4.525225155502987
Delta_T_out,1,2.6552152491391325,195,2.691018004177238,1.3483936961311571
Delta_p,1,0.6310390033708466,195,0.668484875659249,5.9340028252415795
