case,model_path,t_chip_avg_k,t_chip_max_k,t_chip_min_k,t_out_avg_k,p_in_avg_pa,p_out_avg_pa,delta_p_pa,r_th_k_per_w,delta_t_out_k,r_th_ratio,delta_p_ratio,eta_3d
baseline,F:\pyProject\fipy_naca0012_2.0\comsol_3d_airfoil_radiator\generated_realistic_heat_sink\baseline\baseline_realistic_airfoil_heat_sink.mph,310.90253809576,312.71179382015566,309.34795582210864,299.80989924748144,0.5280118145995385,0.2034476611425601,0.3245641534569784,17.75253809576003,6.659899247481462,1.0,1.0,1.0
pi_cbam_best,F:\pyProject\fipy_naca0012_2.0\comsol_3d_airfoil_radiator\generated_7param_chip_heat_sink\pi_cbam_best\pi_cbam_best_realistic_airfoil_heat_sink.mph,309.76665030467444,311.2694279845841,308.18434995091354,299.08288305177194,0.6240992858500939,0.1799888258761676,0.4441104599739263,16.616650304674465,5.932883051771967,0.9360154708606507,1.3683287425417852,0.9623214282488745
