model,Nu_R2,Nu_MAE,Nu_RMSE,f_R2,f_MAE,f_RMSE,eta_R2,eta_MAE,desc
pi_cnn_cbam,0.9578245878219604,0.7752466797828674,1.0157105043071453,0.9600251913070679,0.003097124397754669,0.00393741416611419,0.9603918194770813,0.014673608355224133,完整模型（基线）
no_cbam,0.9650999307632446,0.7379351258277893,0.9239605088980664,0.9696080088615417,0.002750096842646599,0.003433189391877914,0.9663121700286865,0.014903661794960499,去掉 CBAM 注意力
no_pi_loss,0.970876932144165,0.6776814460754395,0.8440320991540937,0.9624675512313843,0.003200576873496175,0.003815237483873748,0.9690817594528198,0.013106631115078926,去掉物理约束损失
no_param_fusion,0.932960033416748,1.008284330368042,1.2805812299852657,0.9383144974708557,0.003972636070102453,0.004891133668626078,0.9305769205093384,0.020835842937231064,去掉参数 MLP 融合
no_geometry,0.9328476786613464,1.0329281091690063,1.2816541546052533,0.9572401642799377,0.003121796529740095,0.0040722645969269505,0.9360395073890686,0.020440654829144478,去掉几何掩码（纯 MLP）
