fold,train_count,val_count,Nu_R2,Nu_MSE,Nu_RMSE,Nu_MAE,Nu_MAPE_percent,f_R2,f_MSE,f_RMSE,f_MAE,f_MAPE_percent
1,400,100,0.9796215891838074,0.13410931825637817,0.3662093912727774,0.2547868490219116,1.449360966682434,0.973978579044342,4.456378803752159e-07,0.0006675611435480767,0.0004726273473352194,1.4096087217330933
2,400,100,0.9847082495689392,0.08367672562599182,0.28926929603051865,0.21444234251976013,1.169693946838379,0.9793462157249451,3.112386650627741e-07,0.0005578876814043971,0.000418118346715346,1.192276120185852
3,400,100,0.9899643063545227,0.06214257702231407,0.24928412910234393,0.18637293577194214,1.0748159885406494,0.9861270785331726,2.690072449240688e-07,0.0005186590835260372,0.0003987119416706264,1.194091558456421
4,400,100,0.9573483467102051,0.24419668316841125,0.49416260802332185,0.33916839957237244,1.909098744392395,0.9704634547233582,5.69727205856907e-07,0.0007548027595716029,0.0005769311101175845,1.6279780864715576
5,400,100,0.9861979484558105,0.07780931890010834,0.27894321805720307,0.20739755034446716,1.1836061477661133,0.9773917198181152,3.790205767018051e-07,0.0006156464705509202,0.0004986434942111373,1.5005289316177368
