case_id,Ta,Twa,Tb,Ts,Tt,Tad,theta,Nu,f,delta_p,delta_T,Q_total,image_complete,failure_reason
20001,0.0206596516298032,0.4421020271834263,0.1311899234732347,1.1290142628742748,0.9764889131289148,0.6044189371152605,7.691357016092006,34.78175,0.094229,1.4134420000000016,23.56272,2130.836852309,True,
20002,0.0279132306669986,0.2692091115797647,0.1040281226540551,1.076422933713005,0.5050488877475157,0.4996175426347347,-0.1838928418012209,35.917787,0.103339,1.550086000000002,18.136986,1693.745005803,True,
20003,0.0079244403219104,0.2068056721557945,0.0999610570921076,0.8843864829780307,0.7207301744552259,0.552515991569575,5.051829737702743,30.52419,0.080183,1.2027509999999992,20.469497,1624.518556132,True,
20004,0.0168583881735947,0.4445921908726906,0.1126425051664173,1.4960266351252889,0.9448081596475044,0.6580863471262945,5.0185711468662415,36.911369,0.081064,1.2159640000000014,19.069794,1830.119792922,True,
20005,0.0212263089741696,0.5945985656228308,0.108173737301707,0.545274167774606,1.1870201695471454,0.3155125513690911,-4.522235522046591,23.86993,0.060349,0.9052379999999998,28.354964,1759.76062453,True,
20006,0.0150671269785288,0.5738486544629001,0.081104254216383,0.7107646948827135,0.8230042647987657,0.0833648792118671,2.1662635338281118,26.14499,0.06063,0.9094489999999995,19.411346,1319.52452021,True,
20007,0.0119612882949568,0.5869707935217963,0.1024049378111458,0.8647487036442635,0.5157075777217036,0.3243195246645325,4.406568428637897,31.735726,0.097463,1.4619480000000014,20.170387,1664.316886243,True,
20008,0.0303579228116938,0.4640588199331926,0.0878057978384648,0.872639953437504,0.7725674590147925,0.1754454706962895,9.028273575672078,27.643846,0.086196,1.2929439999999994,19.903593,1430.550820033,True,
20009,0.0429103160771882,0.3438796064909241,0.1484597969534375,0.6789645807123684,1.1164910922075102,0.0702817362683988,-3.112814816371401,30.924529,0.087184,1.3077580000000006,30.060278,2416.959838395,True,
20010,0.03644039365751,0.3854991326626533,0.1214855092251981,1.1584203546052096,0.6307613312788216,0.6101121070636891,3.669407209453235,38.279724,0.105439,1.5815910000000013,19.870961,1977.702807212,True,
20011,0.0190416476046456,0.3407985077443389,0.0830489878311838,0.848500099590904,1.014214478888971,0.558661016604618,-0.25614452616934,26.637682,0.055853,0.8377950000000007,19.517362,1351.732929453,True,
20012,0.0100442950037901,0.4635069466232053,0.0922719728303156,0.7010104673456303,1.1960214866082894,0.6832311352739606,-7.947728710513544,25.74841,0.068877,1.03315,22.40329,1499.807667563,True,
20013,0.0425422415845134,0.2313005984821958,0.0929119524650143,1.20066666370285,1.1054839369346472,0.4444652937922831,2.6364959097479748,30.950676,0.064277,0.964162,18.85225,1517.073718662,True,
20014,0.0474390628225334,0.3722629245112147,0.0837941295811817,0.9843412675550928,0.6455664862813374,0.3788072467911553,3.603421916588214,31.739336,0.081159,1.2173829999999999,16.592837,1369.278638665,True,
20015,0.0497532330516245,0.2367221378202171,0.1173041047355524,1.3956992211598906,0.56934916864483,0.5254813766744882,5.940454929100852,35.695099,0.102545,1.5381780000000003,20.652627,1916.713711088,True,
20016,0.0335819441939172,0.5822983283040428,0.1255406439700654,1.1336768975247415,0.8657409649284507,0.1286749194600994,-1.592020206082518,40.363039,0.105836,1.5875340000000016,19.453291,2041.504264751,True,
20017,0.049902702160154,0.2825467047861017,0.0825387280449904,0.8910226463853819,1.1137983858805809,0.0893323387984906,-2.314169730472363,27.692866,0.067236,1.008533,18.75375,1350.297234829,True,
20018,0.048953662735498,0.4282038921846044,0.1389193245985436,1.3922106087673352,0.8929624122719338,0.3261015962351395,2.0343078811452,42.769687,0.107846,1.617693000000001,20.370981,2265.277279288,True,
20019,0.0320621293285423,0.2258799119242565,0.1281172249920558,1.4125411372428618,1.177494542761408,0.8309686050645174,4.173760417426909,35.649402,0.074425,1.1163790000000002,22.49914,2085.410342287,True,
20020,0.0172106243899836,0.4900690304148574,0.1258823941868228,0.6319141139167213,1.0827591512332178,0.4599295916507857,-4.06735471316339,27.474581,0.071915,1.0787209999999998,28.63448,2045.472905055,True,
