case_id,Ta,Twa,Tb,Ts,Tt,Tad,theta,Nu,f,delta_p,delta_T,Q_total,image_complete,failure_reason
30339,0.0436026798036781,0.3792783166568727,0.1400378651570289,1.389950961420186,0.8992757285030001,0.4451573611015985,1.466110460184794,42.862293,0.105315,1.5797179999999997,20.475388,2281.817419179,True,
30340,0.0484563502650675,0.5860437413348638,0.142619088339211,0.6411445092087737,0.7264030113662285,0.4420206867767079,7.400100709571937,33.365474,0.12033,1.804945,26.807662,2325.570909853,True,
30341,0.0133218418230863,0.587438174736532,0.0964276479651692,1.351036856319158,1.175954612083613,0.6743127721589971,-0.9174097250638696,33.063347,0.062559,0.9383919999999994,18.234625,1567.534097057,True,
30342,0.008695047586225,0.2940146221349393,0.1162338071063002,1.0537193395890334,1.1729655054779324,0.7523115238236853,-7.969879119523656,34.688473,0.092003,1.3800439999999998,20.925964,1887.313342293,True,
30343,0.0437133159233521,0.3586541015233582,0.1025643537827323,1.4718084299292022,0.6721584795142129,0.9405910120327974,3.965072168839264,37.47615,0.084206,1.263091000000001,17.178026,1673.79232978,True,
30344,0.0288878925401129,0.5051902370381884,0.1084957370747318,0.6690474681898321,0.6750809797481434,0.3706176236273597,-1.0548246637467145,32.473878,0.091471,1.372071,20.910576,1765.523437478,True,
30345,0.0076610144828301,0.4135324285123373,0.147764084656435,1.2501264577852669,0.9630160398755768,0.8056921587787376,7.342031346880752,37.866156,0.101268,1.5190200000000011,24.325871,2394.930845497,True,
30346,0.0354040302988463,0.5918934186681009,0.0850872060478389,0.5748471197865214,1.097435875134062,0.7837259459808866,4.370140150794938,22.590324,0.053785,0.8067719999999996,23.611087,1386.793484592,True,
30347,0.0095424371138927,0.4054055671401904,0.1462917665527407,1.4855273728479084,0.6160486807122261,0.0216897667927448,-2.835190749152994,45.730307,0.149559,2.243385,19.944831,2371.416421249,True,
30348,0.0056835102347308,0.3754987277174774,0.1241572101329137,0.7170964677290775,0.8227639860391389,0.8375147719852472,0.2605018342671705,33.113557,0.083367,1.2505110000000004,23.422137,2016.534701001,True,
30349,0.0203458136534974,0.3621706024116485,0.1150384942044219,1.1183208388300958,0.673789195233718,0.0951718137511499,1.963666483607721,39.638375,0.108075,1.6211199999999995,18.136273,1869.120246648,True,
30350,0.0177781989077093,0.4376024956835496,0.0915744070174957,0.5642623283489632,1.1377274518873417,0.4749799125856423,1.947795319018777,22.258102,0.049404,0.74106,25.733571,1489.229162537,True,
30351,0.0469899345143887,0.5700519936830758,0.086312750856441,1.3910218967223855,1.1910572286596022,0.8446318165976985,3.4973571953537625,31.327698,0.060189,0.9028429999999998,17.301523,1409.243948636,True,
30352,0.0359735195052526,0.2778008508025846,0.1401638268031025,1.0989334537257718,0.7110084364255191,0.0512893535256547,5.201658122929111,38.165771,0.115853,1.7377909999999996,22.986853,2281.008481912,True,
