epoch,train_loss,val_loss
1,0.7934284076971166,1.0884490013122559
2,0.29933070943636053,0.9317591190338135
3,0.20293767101624433,0.9517751336097717
4,0.14630176810657278,0.7919599413871765
5,0.12619843851117526,0.523169994354248
6,0.09380881172769209,0.4015280306339264
7,0.08611730757881614,0.20940446853637695
8,0.07565510746310738,0.1617945432662964
9,0.062472364613238504,0.1489771455526352
10,0.06712217615807757,0.11548887938261032
11,0.06420704617219812,0.07933511584997177
12,0.05106247067451477,0.11161362379789352
13,0.04894651744295569,0.03637676313519478
14,0.049742255885811416,0.06545852869749069
15,0.03729148211286348,0.08276261389255524
16,0.050320475942948285,0.055832602083683014
17,0.06394185932243572,0.0700744017958641
18,0.056685207433560314,0.056239016354084015
19,0.0660132448462879,0.10581949353218079
20,0.0749735488611109,0.11774057894945145
21,0.07225738597266815,0.041107743978500366
22,0.036828425570445904,0.13593646883964539
23,0.032531920426032125,0.08294454962015152
24,0.035274025096612815,0.049482960253953934
25,0.02772593989091761,0.04150537773966789
26,0.023077757919535917,0.03351707383990288
27,0.026618304969195056,0.04397403076291084
28,0.017937850097523016,0.0319477841258049
29,0.024713070953593534,0.03758826479315758
30,0.01931880410103237,0.058272503316402435
