model,input,target,R2,MSE,RMSE,MAE,MAPE_percent
MLP,6 geometry parameters,Nu,0.9700983015034301,0.17354929130875463,0.41659247629878604,0.33014196395874024,1.882093806275345
MLP,6 geometry parameters,f,0.9459219480992371,1.048407799997958e-06,0.001023917867798955,0.0008433437347412109,2.5698147760180685
Multimodal-Fusion,geometry parameters + field image features,Nu,0.9755816459655762,0.1417238563299179,0.3764622907143794,0.28412529826164246,1.6674021482467651
Multimodal-Fusion,geometry parameters + field image features,f,0.963334321975708,7.108357635843277e-07,0.0008431107659046512,0.0005490980111062527,1.753456711769104
