target,R2,MSE,RMSE,MAE,MAPE_percent
Nu,0.9364133477210999,0.3690565228462219,0.6075002245647502,0.485648512840271,2.7879309751017707
f,0.9268767237663269,1.4176365539242397e-06,0.0011906454358557965,0.0008594848331995308,2.79661060552438
