epoch,train_loss,val_loss,source
1,1.266599423631124,0.9893659942363111,digitized_from_loss_curve_png
2,0.8315561959654179,0.7094668587896253,digitized_from_loss_curve_png
3,0.3570605187319884,0.47328530259366,digitized_from_loss_curve_png
4,0.25896253602305475,0.45409221902017294,digitized_from_loss_curve_png
5,0.22590778097982708,0.1725936599423631,digitized_from_loss_curve_png
6,0.2813544668587896,0.095821325648415,digitized_from_loss_curve_png
7,0.21097982708933716,0.07129682997118154,digitized_from_loss_curve_png
8,0.16086455331412103,0.07129682997118154,digitized_from_loss_curve_png
9,0.16193083573487033,0.1363400576368876,digitized_from_loss_curve_png
10,0.17365994236311239,0.08622478386167147,digitized_from_loss_curve_png
11,0.11181556195965417,0.08089337175792506,digitized_from_loss_curve_png
12,0.13740634005763688,0.12141210374639769,digitized_from_loss_curve_png
13,0.13420749279538904,0.09688760806916427,digitized_from_loss_curve_png
14,0.13953890489913545,0.13847262247838615,digitized_from_loss_curve_png
15,0.11501440922190201,0.10861671469740636,digitized_from_loss_curve_png
16,0.10115273775216138,0.08622478386167147,digitized_from_loss_curve_png
17,0.11927953890489915,0.08835734870317002,digitized_from_loss_curve_png
18,0.10328530259365995,0.08195965417867435,digitized_from_loss_curve_png
19,0.095821325648415,0.11608069164265128,digitized_from_loss_curve_png
20,0.10435158501440922,0.14060518731988472,digitized_from_loss_curve_png
21,0.10435158501440922,0.12141210374639769,digitized_from_loss_curve_png
22,0.07556195965417868,0.12034582132564842,digitized_from_loss_curve_png
23,0.0787608069164265,0.15446685878962535,digitized_from_loss_curve_png
24,0.07556195965417868,0.13314121037463977,digitized_from_loss_curve_png
25,0.07556195965417868,0.1107492795389049,digitized_from_loss_curve_png
26,0.07982708933717579,0.11714697406340058,digitized_from_loss_curve_png
27,0.07556195965417868,0.14380403458213256,digitized_from_loss_curve_png
28,0.06170028818443804,0.15979827089337176,digitized_from_loss_curve_png
29,0.07769452449567724,0.16619596541786744,digitized_from_loss_curve_png
30,0.0787608069164265,0.16406340057636887,digitized_from_loss_curve_png
31,0.07236311239193084,0.16406340057636887,digitized_from_loss_curve_png
32,0.06809798270893372,0.15446685878962535,digitized_from_loss_curve_png
33,0.06756484149855908,0.15766570605187322,digitized_from_loss_curve_png
34,0.06596541786743516,0.1267435158501441,digitized_from_loss_curve_png
35,0.0585014409221902,0.14487031700288186,digitized_from_loss_curve_png
36,0.05636887608069163,0.16299711815561962,digitized_from_loss_curve_png
37,0.05103746397694525,0.17152737752161384,digitized_from_loss_curve_png
38,0.04890489913544668,0.18432276657060517,digitized_from_loss_curve_png
39,0.05210374639769452,0.187521613832853,digitized_from_loss_curve_png
40,0.04890489913544668,0.19285302593659942,digitized_from_loss_curve_png
41,0.05317002881844381,0.19285302593659942,digitized_from_loss_curve_png
42,0.059567723342939485,0.16726224783861673,digitized_from_loss_curve_png
43,0.05636887608069163,0.19018731988472623,digitized_from_loss_curve_png
44,0.05743515850144093,0.22697406340057638,digitized_from_loss_curve_png
45,0.05530259365994236,0.21311239193083573,digitized_from_loss_curve_png
46,0.04997118155619597,0.20244956772334294,digitized_from_loss_curve_png
47,0.04677233429394813,0.22377521613832854,digitized_from_loss_curve_png
48,0.045706051873198844,0.21844380403458213,digitized_from_loss_curve_png
49,0.0585014409221902,0.19285302593659942,digitized_from_loss_curve_png
50,0.05743515850144093,0.21844380403458213,digitized_from_loss_curve_png
