model,input,target,R2,MSE,RMSE,MAE,MAPE_percent
MLP,6 geometry parameters,Nu,0.9700983015034301,0.17354929130875463,0.41659247629878604,0.33014196395874024,1.882093806275345
MLP,6 geometry parameters,f,0.9459219480992371,1.048407799997958e-06,0.001023917867798955,0.0008433437347412109,2.5698147760180685
