case,t_chip_avg_k,t_chip_max_k,delta_t_out_k,r_th_k_per_w,delta_p_pa,r_th_ratio,delta_p_ratio,eta_3d,note
基准结构,388.663,390.550,34.850,95.513,0.011350,1.000,1.000,1.000,三维CFD基准
代表性优化构型,387.138,388.736,35.225,93.988,0.009424,0.984,0.830,1.081,当前已求解三维代表性构型
