,Nu,f,eta
Ta,0.020952620486600272,0.0734090377391691,-0.025903953731447816
Twa,0.041007755768322315,0.059981937209991384,0.015383699523619804
Tb,0.5099084902438712,0.5180861240567565,0.3478289619957658
Ts,0.7135255583340956,0.26417373451937476,0.827598804915078
Tt,-0.3460624614998984,-0.624891744399022,-0.05619716049766291
Tad,0.058082745406360194,-0.05991662680123699,0.12794006939035757
theta,-0.29727677477712483,-0.32190299442902204,-0.1963282117857157
