,Nu,f,eta
Ta,0.02868028068028068,0.07754098916934996,-0.014384906384906386
Twa,0.03273320073320073,0.06019771946187158,0.01408099408099408
Tb,0.49887570687570687,0.5137282945165887,0.3318032118032118
Ts,0.7113011313011313,0.2678054194293333,0.8324718644718645
Tt,-0.34015937215937214,-0.6308699181181865,-0.049557433557433556
Tad,0.06601079401079402,-0.04603071499736002,0.12412912012912013
theta,-0.2963969123969124,-0.3138550524460086,-0.19152189552189552
