parameter,value_min,value_max,eta_min,eta_max,eta_range,eta_center
Ts,1.3002127170562745,1.4998046159744263,1.3892923405305895,1.4335342036765122,0.04424186314592271,1.433571509869985
Tb,0.13601515293121338,0.14993256330490112,1.4160717198319799,1.4334898985941473,0.017418178762167447,1.433571509869985
theta,-6.217168855667115,1.7683101177215579,1.4186791548433635,1.433571509869985,0.014892355026621562,1.433571509869985
Tad,0.8003893256187439,0.9991193413734436,1.4252868210244451,1.4335315854260848,0.008244764401639681,1.433571509869985
Tt,0.821185564994812,1.100653314590454,1.4263078799085505,1.433571509869985,0.007263629961434592,1.433571509869985
Ta,6.823518924647942e-05,0.009971056878566743,1.4277962765127803,1.4335275415673592,0.005731265054578882,1.433571509869985
Twa,0.5200632274150848,0.5998783111572266,1.4297770872524278,1.4335675312710492,0.003790444018621386,1.433571509869985
