fold,train_count,val_count,test_count,Nu_R2,Nu_MAE,Nu_RMSE,f_R2,f_MAE,f_RMSE,eta_R2,eta_MAE
1,680,120,200,0.950665295124054,0.8759893774986267,1.1506483634470637,0.9590355157852173,0.0034599381033331156,0.0046456286377256975,0.9402920007705688,0.023574894294142723
2,680,120,200,0.9620987176895142,0.8059627413749695,1.0452550054000131,0.9668079018592834,0.003215320408344269,0.004148880073600423,0.9527363181114197,0.021538974717259407
3,680,120,200,0.9598373174667358,0.7931229472160339,1.0465638566599242,0.9578494429588318,0.003412329824641347,0.004524011027633821,0.9497684240341187,0.021410498768091202
4,680,120,200,0.9641038179397583,0.8018670678138733,1.0487995392439737,0.9570481777191162,0.0035593395587056875,0.004825166449796332,0.9662302732467651,0.01728972978889942
5,680,120,200,0.9653858542442322,0.7586452960968018,0.9789174790891424,0.9593963027000427,0.00347634544596076,0.004468043865034607,0.9630136489868164,0.018350405618548393
