generation,best_eta
1,1.1755560130850295
2,1.1755560130850295
3,1.1755560130850295
4,1.1755560130850295
5,1.1946321552947767
6,1.1946321552947767
7,1.2049694432003757
8,1.2050506911553736
9,1.2050506911553736
10,1.2050506911553736
11,1.2050506911553736
12,1.2050506911553736
13,1.2087678192522437
14,1.2176269383017984
15,1.2176269383017984
16,1.2176587088173578
17,1.2176587088173578
18,1.2357516074350219
19,1.2357516074350219
20,1.2357516074350219
21,1.2357516074350219
22,1.2357516074350219
23,1.2357516074350219
24,1.2357516074350219
25,1.2357516074350219
26,1.2406771772022325
27,1.2406771772022325
28,1.2429214956402972
29,1.2441409570640243
30,1.2441409570640243
