fold,train_count,val_count,test_count,Nu_R2,Nu_MAE,Nu_RMSE,f_R2,f_MAE,f_RMSE,eta_R2,eta_MAE
1,340,60,100,0.9526591897010803,0.8427833318710327,1.0992884328481538,0.958438515663147,0.003411199664697051,0.004524454494055238,0.9424580335617065,0.017878130078315735
2,340,60,100,0.9522984027862549,0.9295961260795593,1.1760336772871454,0.9256192445755005,0.00476593803614378,0.005982047714825173,0.9387490749359131,0.01913924142718315
3,340,60,100,0.9582660794258118,0.8600447177886963,1.1018359879605173,0.9323927164077759,0.004750970285385847,0.006127527806033658,0.9423992037773132,0.017992550507187843
4,340,60,100,0.9576459527015686,0.8352593779563904,1.124607017543769,0.9628429412841797,0.0034058368764817715,0.004453595342731724,0.9495884776115417,0.017542969435453415
5,340,60,100,0.9456963539123535,0.9279152154922485,1.2272241836477684,0.9505649209022522,0.0037360386922955513,0.005044109947304909,0.9412323236465454,0.017776448279619217
