case,model_path,t_chip_avg_k,t_chip_max_k,t_chip_min_k,t_out_avg_k,p_in_avg_pa,p_out_avg_pa,delta_p_pa,r_th_k_per_w,delta_t_out_k,r_th_ratio,delta_p_ratio,eta_3d,nu_3d,f_3d,nu_ratio,f_ratio,eta_nu_f_3d
baseline,F:\pyProject\fipy_naca0012_2.0\comsol_3d_airfoil_radiator\generated_realistic_heat_sink\baseline\baseline_realistic_airfoil_heat_sink.mph,310.90253809576,312.71179382015566,309.34795582210864,299.80989924748144,0.5280118145995385,0.2034476611425601,0.3245641534569784,17.75253809576003,6.659899247481462,1.0,1.0,1.0,153.18951604741176,0.73436737751882,1.0,1.0,1.0
baseline_1000_best,F:\pyProject\fipy_naca0012_2.0\comsol_3d_airfoil_radiator\generated_7param_chip_heat_sink\baseline_1000_best\baseline_1000_best_realistic_airfoil_heat_sink.mph,312.08105331362106,313.64923241643055,310.4982568408858,298.12039480968826,0.4462421471184897,0.021361324471276113,0.4248808226472136,18.931053313621078,4.970394809688287,1.0663857309588043,1.3090811727720029,0.8572289230426436,143.65300622475192,0.961346507807837,0.9377469811987114,1.3090811727720029,0.8572289230426434
