mode,tag,xmin,xmax,ymin,ymax,count,entities
broad_box,all,-0.002,0.159,-0.013199999999999998,0.013199999999999998,48,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52
array_box,0_0,-0.001999999999999999,0.012,-0.0109,-0.006100000000000001,2,5 6
array_box,0_1,0.019000000000000003,0.033,-0.0109,-0.006100000000000001,2,11 12
array_box,0_2,0.04,0.054,-0.0109,-0.006100000000000001,2,17 18
array_box,0_3,0.06100000000000002,0.07500000000000001,-0.0109,-0.006100000000000001,2,23 24
array_box,0_4,0.08200000000000002,0.096,-0.0109,-0.006100000000000001,2,29 30
array_box,0_5,0.10300000000000001,0.11699999999999999,-0.0109,-0.006100000000000001,2,35 36
array_box,0_6,0.12400000000000003,0.13800000000000004,-0.0109,-0.006100000000000001,2,41 42
array_box,0_7,0.14500000000000002,0.15900000000000003,-0.0109,-0.006100000000000001,2,47 48
array_box,1_0,-0.001999999999999999,0.012,-0.0024,0.0024,2,7 8
array_box,1_1,0.019000000000000003,0.033,-0.0024,0.0024,2,13 14
array_box,1_2,0.04,0.054,-0.0024,0.0024,2,19 20
array_box,1_3,0.06100000000000002,0.07500000000000001,-0.0024,0.0024,2,25 26
array_box,1_4,0.08200000000000002,0.096,-0.0024,0.0024,2,31 32
array_box,1_5,0.10300000000000001,0.11699999999999999,-0.0024,0.0024,2,37 38
array_box,1_6,0.12400000000000003,0.13800000000000004,-0.0024,0.0024,2,43 44
array_box,1_7,0.14500000000000002,0.15900000000000003,-0.0024,0.0024,2,49 50
array_box,2_0,-0.001999999999999999,0.012,0.006100000000000001,0.0109,2,9 10
array_box,2_1,0.019000000000000003,0.033,0.006100000000000001,0.0109,2,15 16
array_box,2_2,0.04,0.054,0.006100000000000001,0.0109,2,21 22
array_box,2_3,0.06100000000000002,0.07500000000000001,0.006100000000000001,0.0109,2,27 28
array_box,2_4,0.08200000000000002,0.096,0.006100000000000001,0.0109,2,33 34
array_box,2_5,0.10300000000000001,0.11699999999999999,0.006100000000000001,0.0109,2,39 40
array_box,2_6,0.12400000000000003,0.13800000000000004,0.006100000000000001,0.0109,2,45 46
array_box,2_7,0.14500000000000002,0.15900000000000003,0.006100000000000001,0.0109,2,51 52
array_boxes_union,all,,,,,48,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52
