dimension,case,mesh_level,element_count,Nu,f,eta,Tmax,Tavg,pressure_drop,thermal_resistance,relative_to_fine_percent,status
3D,baseline,coarse,,42.58287581670081,3.340343431993179,1.0,374.6697132857645,373.43587438574497,0.017536803017964196,80.28587438574499,,真实 COMSOL 求解；mesh-hauto=6; mesh-scale=1.0
3D,chip_mlp_cnn_de_multiloss_e10,coarse,,44.02735320435597,3.0321063515941167,1.0678325453928577,372.074910950163,370.80180438930336,0.015918558345869117,77.65180438930338,,真实 COMSOL 求解；mesh-hauto=6; mesh-scale=1.0
3D,baseline,medium,,39.72984480163116,2.5818406177419426,1.0,380.45711778952443,379.2012653868473,0.013554663243145202,86.05126538684732,,真实 COMSOL 求解；mesh-hauto=5; mesh-scale=0.7
3D,chip_mlp_cnn_de_multiloss_e10,medium,,41.43326205987507,2.4815994867557367,1.056731948315334,376.96965246656845,375.66349878903856,0.013028397305467622,82.51349878903858,,真实 COMSOL 求解；mesh-hauto=5; mesh-scale=0.7
3D,baseline,fine,,38.658981740383794,2.2770549700700013,1.0,382.8756962970968,381.5849060656215,0.011954538592867511,88.43490606562153,,真实 COMSOL 求解；mesh-hauto=4; mesh-scale=0.5
3D,chip_mlp_cnn_de_multiloss_e10,fine,,40.81007439769387,2.2964383631418053,1.0526642719732344,378.15929910415525,376.9235159580256,0.012056301406494482,83.7735159580256,,真实 COMSOL 求解；mesh-hauto=4; mesh-scale=0.5
