epoch,train_loss,val_loss
1,0.928617878595988,0.9338173341751098
2,0.6675355180104574,0.5062156581878662
3,0.3009867766300837,0.14940455933411917
4,0.15401482766866684,0.10258167137702306
5,0.11642715020974477,0.09054735024770101
6,0.10401748075087865,0.08043832669655482
7,0.0845923599799474,0.07620751023292542
8,0.07166056911150614,0.06262186974287033
9,0.06057807618379593,0.05877688949306806
10,0.05251392777760824,0.05833749125401179
11,0.05009515279531479,0.05796288227041562
12,0.042402311344941455,0.051918328404426575
13,0.04024569208423297,0.04575703705350558
14,0.03744438110788663,0.04243598893284797
15,0.035242717131972315,0.042113079726696014
16,0.03322057490050793,0.04186827426155408
17,0.031404612243175506,0.042886095345020296
18,0.028694996838768323,0.041194181541601815
19,0.028785698518157005,0.04051482294996579
20,0.024473209738731384,0.03904861052831014
21,0.02358866159617901,0.040930998424688975
22,0.023134751756985983,0.04125002555549145
23,0.020806828891237576,0.03974986563126246
24,0.020583553741375604,0.04439357260862986
25,0.019717569100360075,0.04242249002059301
26,0.018768358933428923,0.04009291040400664
27,0.017755676242212453,0.042511395861705145
28,0.01930182534456253,0.04617931842803955
29,0.018332805439829826,0.044903342525164286
30,0.0171147174735864,0.043120125333468116
31,0.016503078525265058,0.039174559091528255
32,0.015754750999311607,0.04064743270476659
33,0.014138216689229011,0.04163641939560572
34,0.013881702847778798,0.03959446705877781
35,0.012637411922216416,0.0410664268831412
36,0.012500796630978585,0.03866588252286116
37,0.011783606345454853,0.03933630312482516
38,0.010784634552896024,0.04005008136232694
39,0.011212836675345898,0.042541488607724505
40,0.010764870102206866,0.04163322197894255
41,0.009959656027456125,0.03922171937922637
42,0.009745148641367753,0.039260184640685716
43,0.01022134227057298,0.04152720612784227
44,0.009309387788176537,0.04022474000851313
45,0.009481012406448523,0.03955978920062383
46,0.00863067210962375,0.038699605961640675
47,0.008655974224209785,0.039125511199235914
48,0.007829892493784428,0.038001039028167725
49,0.007750087692091862,0.0388008780280749
50,0.007242115120093028,0.03985512857635816
51,0.007142609319339196,0.03932674882312616
52,0.007016213700175285,0.038405380298693975
53,0.0073000578259428345,0.038719799319903055
54,0.006335408740987381,0.0391803299387296
55,0.006335374144216379,0.03840205895404021
56,0.006060628809034825,0.038967294817169505
57,0.005442334948728482,0.03812649756669998
58,0.005320430940637986,0.039747754335403444
59,0.005279895540326833,0.03856507663925489
60,0.005120295899609725,0.03741015262901783
61,0.005060206195960443,0.03925905225177606
62,0.004525226884831985,0.03742555466790994
63,0.004894368593891462,0.040393919671575226
64,0.005067674480378628,0.038335308954119685
65,0.00471891168008248,0.042436969329913456
66,0.004888247761875391,0.03993533054987589
67,0.004519533612454931,0.03958858340978622
68,0.004417476382106543,0.03851801278690497
69,0.0038720414470881223,0.03956730643908183
70,0.003888623032718897,0.039581857174634937
71,0.004021711334586143,0.03925449160238107
72,0.003457616799821456,0.03787429250776768
73,0.0032943872592101496,0.03985933370888233
74,0.003358541632692019,0.03875172724326452
75,0.00393737430498004,0.038803933337330815
76,0.0032017753521601357,0.03969190234939257
77,0.003763882751887043,0.04067351805667083
78,0.0046724969012041885,0.039227781295776365
79,0.0032654951587319375,0.0416655399898688
80,0.003510218723366658,0.041378870606422424
81,0.0031685263259957235,0.03964933425188064
82,0.0025707422581811748,0.04031094933549563
83,0.002567074309413632,0.04125624271730582
84,0.002507911098810534,0.03953023520608743
85,0.0023667517074694236,0.04177833790580432
86,0.002417376269896825,0.04090095284084479
87,0.0024193118680268526,0.04084818090001742
88,0.002229540679603815,0.0414184533059597
89,0.0021853371237715085,0.0412128538886706
90,0.0019078555951515834,0.03987010277807713
91,0.0017820995779087147,0.040829617554942764
92,0.0018051017907758553,0.041211095576484995
93,0.001822105910629034,0.04199681336681048
94,0.0020148168299347164,0.0426781040430069
95,0.001690110716658334,0.041554601341485975
96,0.0019050514549016954,0.04163059035936991
97,0.0021602178445706763,0.040815782099962235
98,0.0018940789314607779,0.04288205956419309
99,0.0017882504286244512,0.041434631645679475
100,0.0016574619378273685,0.04206649186710516
