,Ta,Twa,Tb,Ts,Tt,Tad
Nu,0.009437580758441122,0.005860690923847782,0.07300979207701075,0.36594491998967,0.5397052384481054,0.00604177780292502
f,0.029566666848918982,0.012299201083313475,0.5282289636292564,0.1471815729882305,0.2702818373636444,0.01244175808663614
eta,0.006778250856900467,0.005256518505145824,0.031899209960960566,0.37781422166697837,0.5690882421436287,0.00916355686638598
